Original comparison	Species	Majority protein IDs	Fasta headers	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	A1	A2	A3	B1	B2	B3
50Vs0.5	UPS	P05413ups	>P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	8	8	8	63.6	63.6	63.6	14.727	2.09E+08	2.21E+08	2.33E+08			4.38E+06
50Vs0.5	UPS	P16083ups	>P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	13	13	13	80	80	80	25.821	5.57E+08	5.34E+08	5.53E+08			5.60E+06
50Vs0.5	UPS	P02788ups	>P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	38	38	37	65.4	65.4	63.7	76.164	1.17E+09	1.21E+09	1.16E+09			5.82E+06
50Vs0.5	UPS	P62979ups	>P62979ups|RS27A_HUMAN Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens GN=RPS27A PE=1 SV=2	6	1	1	34	10.3	10.3	17.965	4.04E+07	4.22E+07	3.83E+07			
50Vs0.5	UPS	P99999ups	>P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	5	5	5	49	49	49	11.617	9.88E+07	9.51E+07	1.10E+08			
50Vs0.5	UPS	P61769ups	>P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	3	3	3	42.4	42.4	42.4	11.731	8.87E+07	9.12E+07	1.02E+08			
50Vs0.5	UPS	O76070ups	>O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	11	11	11	70.1	70.1	70.1	15.494	3.75E+08	4.44E+08	4.24E+08		5.63E+06	4.89E+06
50Vs0.5	UPS	P10599ups	>P10599ups|THIO_HUMAN_UPS Thioredoxin (Chain 2-105, N-terminal His tag)- Homo sapiens (Human)	2	2	2	20	20	20	12.429	6.61E+07	5.70E+07	6.02E+07			
50Vs0.5	UPS	P01133ups	>P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	1	1	1	24.1	24.1	24.1	6.3532	3.39E+07	3.58E+07	3.19E+07			
50Vs0.5	UPS	CON__P02768-1;P02768ups	>P02768-1 SWISS-PROT:P02768-1 Tax_Id=9606 Gene_Symbol=ALB Isoform 1 of Serum albumin precursor;>P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	33	33	33	62.6	62.6	62.6	69.366	1.09E+09	1.20E+09	1.14E+09		3.87E+06	5.38E+06
50Vs0.5	UPS	P06732ups	>P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	18	18	18	52.5	52.5	52.5	43.101	5.66E+08	5.85E+08	5.64E+08			3.63E+06
50Vs0.5	UPS	P10636-8ups	>P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	16	16	16	51.8	51.8	51.8	45.718	7.33E+08	7.57E+08	7.20E+08		3.92E+06	5.51E+06
50Vs0.5	UPS	P10145ups	>P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	3	3	3	44.4	44.4	44.4	8.3857	1.00E+08	1.17E+08	1.27E+08			
50Vs0.5	UPS	P09211ups	>P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	4	4	4	32.5	32.5	32.5	23.224	9.78E+07	7.78E+07	9.56E+07			
50Vs0.5	UPS	CON__P01966;P69905ups	>P01966 SWISS-PROT:P01966 (Bos taurus) Hemoglobin subunit alpha;>P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	3	3	3	28.2	28.2	28.2	15.184	3.52E+07	2.93E+07	3.37E+07			
50Vs0.5	UPS	P15559ups	>P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	7	7	7	25.6	25.6	25.6	30.736	2.19E+08	2.15E+08	2.36E+08			3.29E+06
50Vs0.5	UPS	P01008ups	>P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	19	19	19	51.6	51.6	51.6	49.039	5.08E+08	5.29E+08	5.14E+08			2.84E+06
50Vs0.5	UPS	Q15843ups	>Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	2	2	2	34.6	34.6	34.6	9.0714	7.42E+07	6.28E+07	4.99E+07			
50Vs0.5	UPS	Q06830ups	>Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	12	12	12	61.1	61.1	61.1	21.979	3.36E+08	3.62E+08	3.46E+08		6.31E+06	9.55E+06
50Vs0.5	UPS	P41159ups	>P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	5	5	5	49	49	49	16.157	3.62E+08	3.33E+08	3.57E+08		2.29E+06	
50Vs0.5	UPS	P08758ups	>P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	16	16	16	60.5	60.5	60.5	35.805	5.45E+08	5.69E+08	5.87E+08		3.15E+06	9.82E+06
50Vs0.5	UPS	P00918ups	>P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	8	8	8	45.6	45.6	45.6	29.114	2.86E+08	4.08E+08	2.68E+08		1.46E+07	
50Vs0.5	UPS	P12081ups	>P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	22	22	21	52.6	52.6	50.9	58.233	5.21E+08	5.71E+08	5.05E+08		2.55E+07	2.50E+07
50Vs0.5	UPS	P02741ups	>P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	5	5	5	23.6	23.6	23.6	23.251	7.78E+07	1.17E+08	1.15E+08		1.99E+07	1.85E+07
50Vs0.5	UPS	P08263ups	>P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)	7	7	7	44.3	44.3	44.3	25.5	8.04E+07	8.40E+07	1.13E+08		2.70E+07	2.80E+07
50Vs5	UPS	>O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	>O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	11	11	11	70.1	70.1	70.1	15.494	3.57E+08	3.68E+08	3.56E+08	2.03E+07	2.04E+07	1.93E+07
50Vs5	UPS	>P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	>P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	3	3	3	73.1	73.1	73.1	7.4754	1.73E+08	1.77E+08	1.87E+08	2.60E+07	2.79E+07	2.65E+07
50Vs5	UPS	>P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	>P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	5	5	5	45.5	45.5	45.5	16.776	1.78E+08	1.73E+08	1.74E+08	1.30E+07	1.14E+07	1.34E+07
50Vs5	UPS	>P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	>P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	5	5	5	39	39	39	14.078	1.48E+08	1.39E+08	1.41E+08	7.50E+06	8.55E+06	7.09E+06
50Vs5	UPS	>P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	>P41159ups|LEP_HUMAN_UPS Leptin (Chain 22-167) - Homo sapiens (Human)	5	5	5	49	49	49	16.157	3.14E+08	2.97E+08	3.14E+08	2.33E+07	2.77E+07	2.66E+07
50Vs5	UPS	>P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	>P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	8	8	8	45.6	45.6	45.6	29.114	2.77E+08	2.81E+08	2.75E+08	1.88E+07	2.41E+07	2.32E+07
50Vs5	UPS	>P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	>P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	7	7	7	54.5	54.5	54.5	21.298	1.30E+08	1.49E+08	1.49E+08	1.15E+07	1.42E+07	1.36E+07
50Vs5	UPS	>Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	>Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	2	2	2	34.6	34.6	34.6	9.0714	6.15E+07	5.36E+07	4.71E+07		3.61E+06	
50Vs5	UPS	>P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	>P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	16	16	16	51.8	51.8	51.8	45.718	6.45E+08	6.69E+08	6.35E+08	6.38E+07	4.96E+07	4.93E+07
50Vs5	UPS	>P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	>P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human)	25	25	25	56.5	56.5	56.5	59.624	8.77E+08	8.71E+08	9.53E+08	3.26E+07	4.60E+07	4.82E+07
50Vs5	UPS	>P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	>P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	23	23	22	54.4	54.4	52.6	58.233	4.66E+08	4.78E+08	4.61E+08	2.25E+07	3.32E+07	3.04E+07
50Vs5	UPS	>P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	>P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	7	7	7	62.1	62.1	62.1	17.052	1.81E+08	1.85E+08	1.95E+08	1.86E+07	1.39E+07	1.31E+07
50Vs5	UPS	>P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	>P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	7	7	7	25.6	25.6	25.6	30.736	1.82E+08	1.83E+08	2.03E+08	1.32E+07	1.87E+07	1.39E+07
50Vs5	UPS	>Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	>Q06830ups|PRDX1_HUMAN_UPS Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	12	12	12	61.1	61.1	61.1	21.979	3.05E+08	3.28E+08	2.93E+08	1.48E+07	2.26E+07	2.06E+07
50Vs5	UPS	CON__P02768-1;>P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	>P02768-1 SWISS-PROT:P02768-1 Tax_Id=9606 Gene_Symbol=ALB Isoform 1 of Serum albumin precursor;>P02768ups|ALBU_HUMAN_UPS Serum albumin (Chain 26-609) - Homo sapiens (Human)	34	34	34	63.9	63.9	63.9	69.366	9.65E+08	1.00E+09	9.95E+08	5.75E+07	7.99E+07	8.60E+07
50Vs5	UPS	>P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	>P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	6	6	6	66.2	66.2	66.2	17.352	3.38E+08	3.43E+08	3.54E+08	3.26E+07	2.14E+07	2.81E+07
50Vs5	UPS	>P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	>P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	18	18	18	52.5	52.5	52.5	43.101	4.87E+08	5.00E+08	4.90E+08	2.55E+07	3.52E+07	4.01E+07
50Vs5	UPS	>P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	>P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	8	8	8	63.6	63.6	63.6	14.727	1.66E+08	1.86E+08	2.09E+08	1.62E+07	1.73E+07	1.22E+07
50Vs5	UPS	>P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	>P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	38	38	37	65.4	65.4	63.7	76.164	1.07E+09	1.05E+09	1.03E+09	4.22E+07	6.00E+07	6.94E+07
50Vs5	UPS	>P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	>P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	29	29	28	50.8	50.8	49.5	75.181	6.14E+08	5.88E+08	5.94E+08	2.63E+07	3.75E+07	4.26E+07
50Vs5	UPS	>P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	>P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	6	6	6	51.4	51.4	51.4	16.153	2.30E+08	2.23E+08	2.21E+08	1.50E+07	9.07E+06	1.35E+07
50Vs5	UPS	>P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	>P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	4	4	4	43.8	43.8	43.8	15.804	1.00E+08	9.70E+07	9.83E+07	1.78E+07	1.50E+07	1.24E+07
50Vs5	UPS	>P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	>P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	5	5	5	37.8	37.8	37.8	23.224	8.76E+07	7.08E+07	8.72E+07		6.86E+06	4.79E+06
50Vs5	UPS	>P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	>P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	4	4	4	67.6	67.6	67.6	8.2736	8.00E+07	7.31E+07	7.94E+07		7.27E+06	5.33E+06
50Vs5	UPS	>P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human);CON__Q3SX14	>P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human);>Q3SX14 TREMBL:Q3SX14 (Bos taurus) Similar to Gelsolin	23	23	23	38.4	38.4	38.4	82.958	7.11E+08	6.80E+08	6.83E+08	3.56E+07	6.31E+07	5.80E+07
50Vs5	UPS	>P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	>P99999ups|CYC_HUMAN_UPS Cytochrome c (Chain 2-105) - Homo sapiens (Human)	6	6	6	55.8	55.8	55.8	11.617	9.60E+07	9.32E+07	1.02E+08		8.45E+06	5.74E+06
50Vs5	UPS	>P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	>P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	1	1	1	24.1	24.1	24.1	6.3532	3.01E+07	3.18E+07	2.84E+07		2.52E+06	2.68E+06
50Vs5	UPS	>O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	>O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	8	8	8	70.3	70.3	70.3	20.475	3.84E+08	3.68E+08	4.02E+08	5.31E+07	3.10E+07	3.36E+07
50Vs5	UPS	>P10599ups|THIO_HUMAN_UPS Thioredoxin (Chain 2-105, N-terminal His tag)- Homo sapiens (Human)	>P10599ups|THIO_HUMAN_UPS Thioredoxin (Chain 2-105, N-terminal His tag)- Homo sapiens (Human)	2	2	2	20	20	20	12.429	5.62E+07	5.05E+07	5.22E+07		6.36E+06	7.46E+06
50Vs5	UPS	>P62979ups|RS27A_HUMAN Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens GN=RPS27A PE=1 SV=2	>P62979ups|RS27A_HUMAN Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens GN=RPS27A PE=1 SV=2	6	1	1	34	10.3	10.3	17.965	3.51E+07	3.67E+07	3.35E+07	3.70E+06	3.85E+06	6.75E+06
50Vs5	UPS	>P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	>P55957ups|BID_HUMAN_UPS BH3-interacting domain death agonist (Chain 1-195) - Homo sapiens (Human)	7	7	7	52.8	52.8	52.8	21.994	2.51E+08	2.61E+08	2.50E+08	7.79E+06	1.93E+07	1.85E+07
50Vs5	UPS	>P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	>P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	7	7	7	74.3	74.3	74.3	12.294	1.34E+08	1.41E+08	1.44E+08		1.11E+07	9.86E+06
50Vs5	UPS	>P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	>P62937ups|PPIA_HUMAN_UPS Peptidyl-prolyl cis-trans isomerase A (Chain 1-165, N terminal His tag)- Homo sapiens (Human)	7	7	7	30.8	30.8	30.8	20.176	1.48E+08	1.29E+08	1.42E+08		7.07E+06	1.24E+07
50Vs5	UPS	>P51965ups|UB2E1_HUMAN_UPS Ubiquitin-conjugating enzyme E2 E1 (Chain 1-193, N terminal His tag)- Homo sapiens (Human)	>P51965ups|UB2E1_HUMAN_UPS Ubiquitin-conjugating enzyme E2 E1 (Chain 1-193, N terminal His tag)- Homo sapiens (Human)	4	4	4	33.7	33.7	33.7	22.227	7.76E+07	8.14E+07	7.59E+07		1.00E+07	9.18E+06
50Vs5	UPS	>P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	>P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	3	3	3	42.4	42.4	42.4	11.731	7.56E+07	7.69E+07	8.48E+07		8.49E+06	1.07E+07
50Vs5	UPS	>P02753ups|RET4_HUMAN Retinol-binding protein 4 OS=Homo sapiens GN=RBP4 PE=1 SV=3	>P02753ups|RET4_HUMAN Retinol-binding protein 4 OS=Homo sapiens GN=RBP4 PE=1 SV=3	4	4	4	29.9	29.9	29.9	23.01	6.38E+07	6.63E+07	6.79E+07	1.42E+07	1.63E+07	8.47E+06
50Vs5	UPS	>P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	>P63279ups|UBC9_HUMAN_UPS SUMO-conjugating enzyme UBC9 (Chain 1-158) - Homo sapiens (Human)	7	7	7	53.8	53.8	53.8	18.007	8.71E+07	9.89E+07	1.02E+08		1.09E+07	1.12E+07
50Vs5	UPS	>P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	>P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	13	13	13	80	80	80	25.821	4.79E+08	4.62E+08	4.81E+08	1.28E+07	3.83E+07	4.88E+07
50Vs5	UPS	>P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	>P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	5	5	5	23.6	23.6	23.6	23.251	9.83E+07	7.68E+07	7.66E+07		7.32E+06	1.41E+07
50Vs5	UPS	CON__P01966;>P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	>P01966 SWISS-PROT:P01966 (Bos taurus) Hemoglobin subunit alpha;>P69905ups|HBA_HUMAN_UPS Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	3	3	3	28.2	28.2	28.2	15.184	3.08E+07	2.52E+07	3.05E+07		3.17E+06	1.28E+06
50Vs5	UPS	>P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	>P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	20	20	20	53	53	53	49.039	4.60E+08	4.82E+08	4.68E+08		2.31E+07	2.24E+07
